Title,Prison Population Total,Prison Population Rate,,,
Ukraine,54 186,152,,,
United Arab Emirates,9 826,104,,,
United Kingdom: England & Wales,83 665,140,,,
United Kingdom: Northern Ireland,1 492,79,,,
United Kingdom: Scotland,8 248,151,,,
United States of America,2 121 600,655,,,
Uruguay,10 243,295,,,
Uzbekistan,43 900,150,,,
Vanuatu,192,71,,,
Venezuela,57 096,178,,,
Vietnam,130 002,137,,,
Virgin Islands (United Kingdom),134,470,,,
Virgin Islands (USA),577,542,,,
Yemen,14 000,53,,,
Zambia,25 000,146,,,
Zimbabwe,19 382,114,,,
